date,temp_maximum,temp_minimum,temp_range,temp_set_max,precip_time_of_beginning,precip_time_of_ending,precip_amount,precip_snowfall_in_inches,precip_snow_depth_tobs,wind_dir_tobs,weather_state_tobs,wind_dir_day,weather_state_day,month,year,location,county,state,lat,long,date_conv,precip_time_of_beginning_conv,precip_time_of_beginning_date
1,66,41,25,44,DN,11:00AM,0.21,NA,NA,N,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-01,NA,NA
2,67,38,29,43,NA,NA,NA,NA,NA,NW,Cloudy,NW,Partly Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-02,NA,NA
3,59,22,33,45,NA,NA,NA,NA,NA,SE,Clear,SE,Clear,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-03,NA,NA
4,53,31,22,50,NA,NA,NA,NA,NA,NA,Cloudy,S,Clear,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-04,NA,NA
5,60,36,24,57,NA,NA,NA,NA,NA,SE,Cloudy,SE,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-05,NA,NA
6,57,34,23,34,NA,NA,T,NA,NA,SE,Cloudy,NE,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-06,NA,NA
7,34,14,20,19,NA,NA,0.05,0.5,NA,N,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-07,NA,NA
8,19,10,9,16,NA,NA,0.18,1.8,2.2999999999999998,N,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-08,NA,NA
9,21,2,19,12,NA,NA,0.44,4.4000000000000004,0.7,N,Partly Cloud,N,Partly Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-09,NA,NA
10,22,-4,27,NA,NA,NA,T,T,6.7,N,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-10,NA,NA
11,29,13,16,19,NA,NA,NA,T,6.2,S,Cloudy,S,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-11,NA,NA
12,33,19,14,28,NA,NA,NA,NA,6,NE,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-12,NA,NA
13,30,27,9,27,NA,NA,NA,NA,NA,NW,Cloudy,NW,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-13,NA,NA
14,26,16,10,16,NA,NA,NA,NA,NA,NW,Clear,NW,Clear,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-14,NA,NA
15,22,10,12,12,NA,NA,0.15,1.5,6.5,N,Clear,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-15,NA,NA
16,10,-3,13,-1,NA,NA,0.05,0.5,NA,NW,Clear,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-16,NA,NA
17,3,-4,7,-3,NA,NA,0.2,0.2,NA,N,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-17,NA,NA
18,22,-13,35,NA,NA,NA,0.3,0.3,NA,N,Clear,N,Clear,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-18,NA,NA
19,26,2,24,18,NA,NA,NA,NA,NA,SE,Cloudy,SE,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-19,NA,NA
20,26,7,19,20,NA,NA,0.15,1.5,NA,N,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-20,NA,NA
21,9,3,6,5,NA,NA,0.2,2,NA,N,Cloudy,N,Partly Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-21,NA,NA
22,17,-17,34,-11,NA,NA,0.2,2,NA,W,Cloudy,W,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-22,NA,NA
23,31,-11,42,-1,NA,NA,NA,NA,NA,W,Clear,W,Clear,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-23,NA,NA
24,34,0,34,13,NA,NA,NA,NA,NA,W,Clear,W,Clear,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-24,NA,NA
25,41,1,40,7,NA,NA,NA,NA,NA,E,Clear,SE,Partly Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-25,NA,NA
26,34,7,27,33,NA,NA,NA,NA,NA,NW,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-26,NA,NA
27,27,21,6,23,NA,NA,NA,NA,NA,N,Cloudy,N,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-27,NA,NA
28,30,13,17,13,NA,NA,NA,NA,NA,N,Partly Cloudy,N,Partly Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-28,NA,NA
29,36,11,25,11,NA,NA,NA,NA,NA,W,Clear,NW,Clear,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-29,NA,NA
30,37,11,26,NA,NA,NA,NA,NA,NA,SW,Partly Cloudy,NW,Cloudy,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-30,NA,NA
31,46(?),9,37,11,NA,NA,NA,NA,NA,N,Clear,SW,Clear,January,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-01-31,NA,NA
1,96,67,29,95,NA,NA,NA,NA,NA,S,Clear,S,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-01,NA,NA
2,103,71,32,100,NA,NA,NA,NA,NA,SE,Clear,SE,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-02,NA,NA
3,105,75,30,102,NA,NA,NA,NA,NA,S,Clear,S,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-03,NA,NA
4,105,79,26,96,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-04,NA,NA
5,97,73,24,89,DNP,DNP,T,NA,NA,S,Clear,S,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-05,NA,NA
6,95,69,26,93,NA,NA,NA,NA,NA,S,Clear,S,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-06,NA,NA
7,99,75,24,97,NA,NA,NA,NA,NA,S,Clear,S,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-07,NA,NA
8,100,74,26,98,NA,NA,NA,NA,NA,S,Clear,S,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-08,NA,NA
9,101,72,29,98,NA,NA,NA,NA,NA,W,Clear,W,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-09,NA,NA
10,103,77,26,99,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-10,NA,NA
11,99,75,24,91,NA,NA,NA,NA,NA,E,Clear,E,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-11,NA,NA
12,105,75,30,96,NA,NA,NA,NA,NA,S,Clear,S,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-12,NA,NA
13,106,78,28,102,NA,NA,NA,NA,NA,SW,Clear,SW,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-13,NA,NA
14,104,79,25,99,NA,NA,NA,NA,NA,NE,Clear,NE,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-14,NA,NA
15,104,77,24,102,DNA,DNA,T,NA,NA,S,Partly Cloudy,S,Partly Cloudy,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-15,NA,NA
16,104,73,31,96,NA,NA,NA,NA,NA,N,Partly Cloudy,N,Partly Cloudy,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-16,NA,NA
17,96,71,25,90,DNP,DNP,0.12,NA,NA,S,Clear,S,Clear,August,1930,Stillwater,Payne,Okla,36  ̊ 10  ̊,97  ̊ 50  ̊,1930-08-17,NA,NA
